	code	name	squadMarketValue	competition	players	fixtures
0	HUL	Hull City FC	122,250,000 €	PL 16/17	http://api.football-data.org/v1/teams/322/players	http://api.football-data.org/v1/teams/322/fixtures
1	LCFC	Leicester City FC	210,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/338/players	http://api.football-data.org/v1/teams/338/fixtures
2	SFC	Southampton FC	199,000,000 €	PL 16/17	http://api.football-data.org/v1/teams/340/players	http://api.football-data.org/v1/teams/340/fixtures
3	Watfordfc	Watford FC	128,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/346/players	http://api.football-data.org/v1/teams/346/fixtures
4		Middlesbrough FC	104,750,000 €	PL 16/17	http://api.football-data.org/v1/teams/343/players	http://api.football-data.org/v1/teams/343/fixtures
5	SCFC	Stoke City FC	172,250,000 €	PL 16/17	http://api.football-data.org/v1/teams/70/players	http://api.football-data.org/v1/teams/70/fixtures
6	EFC	Everton FC	239,250,000 €	PL 16/17	http://api.football-data.org/v1/teams/62/players	http://api.football-data.org/v1/teams/62/fixtures
7	THFC	Tottenham Hotspur FC	365,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/73/players	http://api.football-data.org/v1/teams/73/fixtures
8	CRY	Crystal Palace FC	157,750,000 €	PL 16/17	http://api.football-data.org/v1/teams/354/players	http://api.football-data.org/v1/teams/354/fixtures
9	WBA	West Bromwich Albion FC	107,600,000 €	PL 16/17	http://api.football-data.org/v1/teams/74/players	http://api.football-data.org/v1/teams/74/fixtures
10	BFC	Burnley FC	66,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/328/players	http://api.football-data.org/v1/teams/328/fixtures
11	SWA	Swansea City FC	106,100,000 €	PL 16/17	http://api.football-data.org/v1/teams/72/players	http://api.football-data.org/v1/teams/72/fixtures
12	MCFC	Manchester City FC	518,000,000 €	PL 16/17	http://api.football-data.org/v1/teams/65/players	http://api.football-data.org/v1/teams/65/fixtures
13	SUN	Sunderland AFC	92,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/71/players	http://api.football-data.org/v1/teams/71/fixtures
14	AFCB	AFC Bournemouth	121,750,000 €	PL 16/17	http://api.football-data.org/v1/teams/1044/players	http://api.football-data.org/v1/teams/1044/fixtures
15	MUFC	Manchester United FC	534,250,000 €	PL 16/17	http://api.football-data.org/v1/teams/66/players	http://api.football-data.org/v1/teams/66/fixtures
16	AFC	Arsenal FC	468,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/57/players	http://api.football-data.org/v1/teams/57/fixtures
17	LFC	Liverpool FC	387,200,000 €	PL 16/17	http://api.football-data.org/v1/teams/64/players	http://api.football-data.org/v1/teams/64/fixtures
18	CFC	Chelsea FC	514,800,000 €	PL 16/17	http://api.football-data.org/v1/teams/61/players	http://api.football-data.org/v1/teams/61/fixtures
19	WHU	West Ham United FC	241,500,000 €	PL 16/17	http://api.football-data.org/v1/teams/563/players	http://api.football-data.org/v1/teams/563/fixtures
20	ROM	AS Roma	276,300,000 €	SA 16/17	http://api.football-data.org/v1/teams/100/players	http://api.football-data.org/v1/teams/100/fixtures
21		Udinese Calcio	92,300,000 €	SA 16/17	http://api.football-data.org/v1/teams/115/players	http://api.football-data.org/v1/teams/115/fixtures
22	JUVE	Juventus Turin	428,000,000 €	SA 16/17	http://api.football-data.org/v1/teams/109/players	http://api.football-data.org/v1/teams/109/fixtures
23	FIO	ACF Fiorentina	151,925,000 €	SA 16/17	http://api.football-data.org/v1/teams/99/players	http://api.football-data.org/v1/teams/99/fixtures
24	ACM	AC Milan	205,600,000 €	SA 16/17	http://api.football-data.org/v1/teams/98/players	http://api.football-data.org/v1/teams/98/fixtures
25	FCT	Torino FC	99,750,000 €	SA 16/17	http://api.football-data.org/v1/teams/586/players	http://api.football-data.org/v1/teams/586/fixtures
26		AC Chievo Verona	36,050,000 €	SA 16/17	http://api.football-data.org/v1/teams/106/players	http://api.football-data.org/v1/teams/106/fixtures
27	Int	FC Internazionale Milano	331,575,000 €	SA 16/17	http://api.football-data.org/v1/teams/108/players	http://api.football-data.org/v1/teams/108/fixtures
28	EMP	Empoli FC	50,975,000 €	SA 16/17	http://api.football-data.org/v1/teams/445/players	http://api.football-data.org/v1/teams/445/fixtures
29		UC Sampdoria	81,275,000 €	SA 16/17	http://api.football-data.org/v1/teams/584/players	http://api.football-data.org/v1/teams/584/fixtures
30	CFC	Genoa CFC	89,700,000 €	SA 16/17	http://api.football-data.org/v1/teams/107/players	http://api.football-data.org/v1/teams/107/fixtures
31		Cagliari Calcio	62,600,000 €	SA 16/17	http://api.football-data.org/v1/teams/104/players	http://api.football-data.org/v1/teams/104/fixtures
32		Bologna FC	72,475,000 €	SA 16/17	http://api.football-data.org/v1/teams/103/players	http://api.football-data.org/v1/teams/103/fixtures
33		FC Crotone	22,200,000 €	SA 16/17	http://api.football-data.org/v1/teams/472/players	http://api.football-data.org/v1/teams/472/fixtures
