name,team,location,capacity
KCOM Stadium,Hull City FC,"Hull, England",24400
King Power Stadium,Leicester City FC,"Leicester, England ",32312
St Mary's Stadium ,Southampton FC,"Southampton, England",32505
Vicarage Road Stadium,Watford FC,"Watford, England",23700
Riverside Stadium,Middlesbrough FC,"Middlesbrough, England",33746
bet365 Stadium,Stoke City FC,England ,27902
Goodison Park,Everton FC,"Liverpool, England",39572
White Hart Lane,Tottenham Hotspur FC,"London, England",36284
Selhurst Park,Crystal Palace FC,"London, England",25456
The Hawthorns,West Bromwich Albion FC,England ,26850
Turf Moor,Burnley FC,"Lancashire,England",21401
Liberty Stadium,Swansea City FC,"Swansea, Wales",21088
Etihad Stadium,Manchester City FC,"Manchester, England",55097
Stadium of Light,Sunderland AFC,"Sunderland, England",48707
Dean Court,AFC Bournemouth,"Bournemouth, England",11464
Old Trafford,Manchester United FC,"Manchester, England",75643
Emirates Stadium,Arsenal FC,"London, England",60432
Anfield,Liverpool FC,"Liverpool, England",54074
Stamford Bridge,Chelsea FC,"London, England",41663
London Stadium,West Ham United FC,"London, England",66000
Stadio Olimpico,AS Roma,"Rome, Italy",70634
Dacia Arena,Udinese Calcio,"Venezia, Italy ",25144
Juventus Stadium,Juventus Turin,"Turin, Italy ",41507
Stadio Comunale Artemio Franchi,ACF Fiorentina,"Florence, Italy",43147
Stadio Giuseppe Meazza,AC Milan,"Milan, Italy",80018
Stadio Olimpico Grande Torino,Torino FC,"Turin, Italy ",27958
ChievoVerona,AC Chievo Verona,"Verona, Italy ",39371
San Siro,FC Internazionale Milano,"Milan, Italy",80018
Stadio Carlo Castellani,Empoli FC,"Empoli, Italy",16284
Stadio Luigi Ferraris,UC Sampdoria,"Genoa, Italy",36600
Stadio Luigi Ferraris,Genoa CFC,"Genoa, Italy",36600
Stadio Comunale Sant'Elia,Cagliari Calcio,"Cagliari, Italy",16000
Stadio Renato Dall'Ara,Bologna FC,"Bologna, Italy",38279
Stadio Comunale Ezio Scida,FC Crotone,"Crotone, Italy ",16547
Stadio Comunale Renzo Barbera,US CittÌÊ di Palermo,"Palermo, Italy",36349
Mapei Stadium,US Sassuolo Calcio,"Reggio Emilia, Italy",23717
Stadio Adriatico ‰ÛÒ Giovanni Cornacchia,Pescara Calcio,"Pescara, Italy",20515
Stadio San Paolo,SSC Napoli,"Naples, Italy",60240
Stadio Atleti Azzurri d'Italia,Atalanta BC,"Bergamo, Italy ",26562
Stadio Olimpico,SS Lazio,"Rome, Italy",70634
La Rosaleda,MÌÁlaga CF,"MÌÁlaga, Spain",30044
El Sadar,CA Osasuna,"Pamplona, Spain",18761
Riazor,RC Deportivo La Coruna,"CoruÌ±a, Spain",34600
Ipurua,SD Eibar,"Eibar, Spain",7083
Camp Nou,FC Barcelona,"Barcelona, Spain",99354
Benito VillamarÌ_n,Real Betis,"Seviilla, Spain",52500
Los CÌÁrmenes,Granada CF,"Granada, Spain",23934
Estadio de la CerÌÁmicosa,Villarreal CF,"Villareal, Spain",24890
RamÌ_n SÌÁnchez PizjuÌÁn,Sevilla FC,"Sevilla, Spain ",42500
RCDE Stadium,RCD Espanyol,"Barcelona, Spain",40500
El MolinÌ_n,Sporting GijÌ_n,"GijÌ_n, Spain",42000
San MamÌ©s,Athletic Club,"Bilbao, Spain",53289
Anoeta,Real Sociedad de FÌ¼tbol,"San Sebasian, Spain",32300
Santiago BernabÌ©u Stadium,Real Madrid CF,"Madrid, Spain",81044
Estadio Vicente CalderÌ_n,Club AtlÌ©tico de Madrid,"Madrid, Spain ",54907
Estadio Mendizorrotza,Deportivo AlavÌ©s,"Vitoria-Gasteiz, Spain",19840
