id,pos,p,w,d,l,f,a,hw,hl,hga,aw,al,ad,agf,aga,gd,pts,competition_id,team_id
1,1,31,24,3,4,65,25,13,2,11,11,11,3,26,14,40,75,1,19
2,2,31,20,8,3,64,22,14,0,8,6,6,6,25,14,42,68,1,8
3,3,32,18,9,5,68,40,11,1,16,7,7,5,27,24,28,63,1,18
4,4,31,18,7,6,60,35,8,1,15,10,10,1,33,20,25,61,1,13
5,5,30,15,12,3,46,24,6,1,11,9,9,3,25,13,22,57,1,16
6,6,30,16,6,8,61,39,10,2,15,6,6,3,30,24,22,54,1,17
7,7,32,15,9,8,57,36,11,1,12,4,4,5,19,24,21,54,1,7
8,8,32,12,8,12,39,41,9,5,19,3,3,6,12,22,-2,44,1,10
9,9,30,11,7,12,37,37,6,4,15,5,5,3,20,22,0,40,1,3
10,10,31,10,7,14,36,52,7,5,23,3,3,3,12,29,-16,37,1,4
11,11,31,10,6,15,39,51,9,4,18,1,1,3,13,33,-12,36,1,2
12,12,32,10,6,16,32,44,10,4,14,0,0,4,9,30,-12,36,1,11
13,13,32,9,9,14,34,47,6,5,19,3,3,4,14,28,-13,36,1,6
14,14,32,10,6,16,42,57,6,7,27,4,4,3,24,30,-15,36,1,20
15,15,32,9,8,15,45,59,7,6,26,2,2,5,18,33,-14,35,1,15
16,16,31,10,4,17,42,50,5,9,20,5,5,3,24,30,-8,34,1,9
17,17,32,8,6,18,33,64,7,5,26,1,1,2,8,38,-31,30,1,1
18,18,32,8,4,20,37,67,5,8,33,3,3,1,15,34,-30,28,1,12
19,19,31,4,12,15,22,37,3,7,17,1,1,7,10,20,-15,24,1,5
20,20,31,5,5,21,24,56,3,9,29,2,2,1,10,27,-32,20,1,14
21,1,31,25,2,4,62,20,16,0,8,9,9,2,22,12,42,77,2,23
22,2,31,23,2,6,69,26,14,1,11,9,9,2,27,15,43,71,2,21
23,3,31,20,7,4,72,33,10,2,17,10,10,3,38,16,39,67,2,38
24,4,31,18,6,7,52,34,10,4,15,8,8,4,26,19,18,60,2,40
25,5,31,18,5,8,52,34,10,3,13,8,8,3,28,21,18,59,2,39
26,6,31,17,6,8,47,33,11,3,14,6,6,4,20,19,14,57,2,25
27,7,31,17,4,10,57,35,10,3,15,7,7,2,21,20,22,55,2,28
28,8,31,14,10,7,49,39,8,0,13,6,6,3,26,26,10,52,2,24
29,9,31,12,9,10,39,37,8,3,16,4,4,4,15,21,2,45,2,30
30,10,31,11,11,9,59,52,8,1,21,3,3,5,23,31,7,44,2,26
31,11,31,11,7,13,41,40,7,6,20,4,4,4,15,20,1,40,2,22
32,12,31,11,5,15,35,45,6,6,21,5,5,1,15,24,-10,38,2,27
33,13,31,10,5,16,41,62,7,5,31,3,3,2,13,31,-21,35,2,32
34,14,31,9,7,15,29,46,6,8,22,3,3,5,13,24,-17,34,2,33
35,15,31,9,5,17,38,49,5,9,21,4,4,4,23,28,-11,32,2,36
36,16,31,7,8,16,30,51,4,5,19,3,3,2,12,32,-21,29,2,31
37,17,31,5,8,18,18,49,4,8,24,1,1,4,6,25,-31,23,2,29
38,18,31,5,5,21,25,51,4,9,23,1,1,2,9,28,-26,20,2,34
39,19,31,3,6,22,25,67,1,12,29,2,2,4,17,38,-42,15,2,35
40,20,31,2,8,21,31,68,1,9,31,1,1,3,15,37,-37,14,2,37
41,1,30,22,6,2,79,31,12,0,15,10,10,2,39,16,48,72,3,54
42,2,31,21,6,4,88,28,11,1,11,10,10,3,42,17,60,69,3,45
43,3,31,18,8,5,56,24,11,2,12,7,7,6,23,12,32,62,3,55
44,4,31,18,7,6,56,39,11,1,14,7,7,4,27,25,17,61,3,49
45,5,31,15,9,7,45,24,9,4,16,6,6,6,15,8,21,54,3,48
46,6,31,16,4,11,46,42,8,4,21,8,8,0,21,21,4,52,3,53
47,7,31,14,8,9,52,42,9,4,19,5,5,5,25,23,10,50,3,44
48,8,31,15,5,11,40,36,11,2,15,4,4,2,12,21,4,50,3,52
49,9,31,12,10,9,43,42,8,3,19,4,4,5,15,23,1,46,3,50
50,10,30,12,5,13,45,51,9,5,22,3,3,4,18,29,-6,41,3,57
51,11,31,10,10,11,29,38,4,4,19,6,6,3,16,19,-9,40,3,56
52,12,31,11,6,14,47,54,7,5,25,4,4,3,22,29,-7,39,3,59
53,13,31,10,8,13,50,52,9,2,15,1,1,3,19,37,-2,38,3,60
54,14,31,8,9,14,36,47,7,6,21,1,1,7,13,26,-11,33,3,41
55,15,31,8,7,16,33,51,5,5,19,3,3,1,15,32,-18,31,3,46
56,16,31,6,10,15,33,50,5,5,15,1,1,5,14,35,-17,28,3,43
57,17,31,6,9,16,26,48,3,7,21,3,3,4,12,27,-22,27,3,58
58,18,31,5,7,19,32,61,4,9,32,1,1,5,12,29,-29,22,3,51
59,19,31,4,8,19,27,65,4,7,21,0,0,4,11,44,-38,20,3,47
60,20,31,3,8,20,32,70,1,10,34,2,2,3,15,36,-38,17,3,42
61,1,28,21,5,2,71,15,11,0,6,10,10,2,23,9,56,68,5,63
62,2,28,18,4,6,51,30,11,2,11,7,7,3,24,19,21,58,5,96
63,3,28,13,12,3,51,28,9,0,11,4,4,7,22,17,23,51,5,95
64,4,28,14,8,6,59,32,10,0,7,4,4,5,27,25,27,50,5,72
65,5,28,13,4,11,37,34,11,2,9,2,2,3,13,25,3,43,5,93
66,6,28,12,5,11,36,47,8,5,22,4,4,4,18,25,-11,41,5,94
67,7,28,10,10,8,41,34,7,2,13,3,3,5,19,21,7,40,5,91
68,8,28,11,6,11,34,36,7,4,12,4,4,3,13,24,-2,39,5,81
69,9,28,10,8,10,28,30,6,2,13,4,4,2,9,17,-2,38,5,87
70,10,28,10,7,11,37,32,8,4,13,2,2,4,10,19,5,37,5,88
71,11,28,10,6,12,44,48,6,7,18,4,4,5,23,30,-4,36,5,83
72,12,28,10,5,13,42,44,5,5,22,5,5,1,18,22,-2,35,5,79
73,13,28,9,6,13,28,51,7,4,22,2,2,3,10,29,-23,33,5,89
74,14,28,8,6,14,27,42,4,8,18,4,4,4,16,24,-15,30,5,85
75,15,28,8,5,15,36,47,5,5,22,3,3,1,12,25,-11,29,5,86
76,16,28,7,8,13,26,45,3,6,23,4,4,3,11,22,-19,29,5,84
77,17,28,8,4,16,31,47,4,7,24,4,4,1,14,23,-16,28,5,90
78,18,28,4,3,21,19,56,4,7,22,0,0,0,6,34,-37,15,5,92
