id,name,dob,contract_until,position,jersey_number,market_value,nationality,team_id
1,Steve Harper,1975-03-14,,Keeper,22.0,"250,000 €",England,1
2,Harry Maguire,1993-03-05,2017-06-30,Centre Back,NaN,"750,000 €",England,1
3,Robbie Brady,1992-01-14,,Left-Back,11.0,"3,000,000 €",Ireland,1
4,Tom Ince,1992-01-30,2016-06-30,Right Wing,NaN,"8,000,000 €",England,1
5,Nikica Jelavic,1985-08-27,2017-06-30,Centre Forward,18.0,"6,500,000 €",Croatia,1
6,Calaum Jahraldo-Martin,1993-04-27,2016-06-30,Right Wing,NaN,,Antigua and Barbuda,1
7,Dame N'Doye,1985-02-21,2017-06-30,Centre Forward,28.0,"9,000,000 €",Senegal,1
8,Allan McGregor,1982-01-31,2018-06-30,Keeper,1.0,"2,000,000 €",Scotland,1
9,Eldin Jakupovic,1984-10-02,2018-06-30,Keeper,16.0,"500,000 €",Switzerland,1
10,Mark Oxley,1990-06-02,,Keeper,NaN,"150,000 €",England,1
11,Rory Watson,1996-02-05,,Keeper,NaN,,England,1
12,Michael Dawson,1983-11-18,2017-06-30,Centre Back,21.0,"8,000,000 €",England,1
13,Curtis Davies,1985-03-15,2018-06-30,Centre Back,6.0,"4,000,000 €",England,1
14,James Chester,1989-01-23,,Centre Back,5.0,"2,500,000 €",Wales,1
15,Paul McShane,1986-01-06,,Centre Back,15.0,"1,500,000 €",Ireland,1
16,Alex Bruce,1984-09-28,2016-06-30,Centre Back,4.0,"1,000,000 €",Northern Ireland,1
17,Maynor Figueroa,1983-05-02,,Left-Back,3.0,"4,000,000 €",Honduras,1
18,Andrew Robertson,1994-03-11,2017-06-30,Left-Back,26.0,"600,000 €",Scotland,1
19,Joe Dudgeon,1990-11-26,,Left-Back,19.0,"500,000 €",Northern Ireland,1
20,Conor Townsend,1993-03-04,2016-06-30,Left-Back,NaN,,England,1
21,Liam Rosenior,1984-07-09,,Right-Back,2.0,"1,500,000 €",England,1
22,Tom Huddlestone,1986-12-28,2018-06-30,Defensive Midfield,8.0,"6,000,000 €",England,1
23,Mohamed Diamé,1987-06-14,2017-06-30,Central Midfield,17.0,"7,000,000 €",Senegal,1
24,David Meyler,1989-05-29,2018-06-30,Central Midfield,7.0,"3,000,000 €",Ireland,1
25,Jake Livermore,1989-11-14,2017-06-30,Defensive Midfield,14.0,"2,500,000 €",England,1
26,Stephen Quinn,1986-04-01,,Central Midfield,29.0,"2,000,000 €",Ireland,1
27,Ahmed Elmohamady,1987-09-09,2019-06-30,Right Midfield,27.0,"3,500,000 €",Egypt,1
28,Robert Snodgrass,1987-09-07,2017-06-30,Right Wing,10.0,"5,500,000 €",Scotland,1
