id,goals_home,goals_away,odds_home_win,odds_away_win,draw,fixture_id
1,2,1,3.25,2.2,3.25,1
2,0,1,2.6,2.8,3.1,2
3,0,1,2,3.8,3.2,3
4,1,1,2.9,2.37,3.25,4
5,1,1,2.15,3.4,3.25,5
6,1,1,1.83,4.4,3.4,6
7,2,1,1.2,17,6,7
8,1,3,5.5,1.72,3.3,8
9,3,4,2.2,3.25,3.2,9
10,2,1,1.61,5.5,3.75,10
11,2,0,1.44,8,4.2,11
12,1,4,5,1.7,3.75,12
13,2,0,6,1.55,3.9,13
14,1,2,2.9,2.5,3.1,14
15,0,2,1.75,4.8,3.5,15
16,1,0,1.44,8,4.33,16
17,1,2,5,1.7,3.6,17
18,0,0,2.9,2.37,3.3,18
19,1,2,2.45,2.9,3.2,19
20,1,0,1.85,3.8,3.6,20
21,1,1,2.37,3,3.25,21
22,1,3,4.8,1.72,3.7,22
23,3,0,1.25,15,5.5,23
24,1,1,1.6,5.8,3.9,24
25,2,1,1.72,4.75,3.7,25
26,1,0,1.72,5.5,3.5,26
27,1,1,2.2,3.4,3.2,27
28,0,1,7.5,1.5,4,28
29,0,0,2.5,3,3,29
30,3,1,1.28,11,5.5,30
31,1,2,2.3,3.4,3.25,31
32,1,1,2.4,3.4,3.1,32
33,1,2,2.3,3.6,3.2,33
34,0,4,4.6,1.85,3.7,34
35,1,0,2,4.33,3.25,35
36,2,4,1.9,4.6,3.5,36
37,2,1,1.57,6.5,4.2,37
38,4,1,1.66,5.5,4,38
39,2,2,6,1.65,4,39
40,0,3,3.9,2.05,3.5,40
41,1,2,2.15,3.25,3.5,41
42,1,4,6.5,1.5,4,42
43,3,0,1.5,7,4.2,43
44,4,0,1.28,12,5.5,44
45,4,2,2.62,2.8,3.1,45
46,3,1,1.75,4.6,3.7,46
47,3,1,6.5,1.5,4,47
48,1,0,1.65,5.5,3.7,48
49,4,1,2.05,3.75,3.3,49
50,1,0,1.28,12,5,50
51,4,1,1.7,5,3.7,51
52,1,0,3.25,2.2,3.4,52
53,5,1,1.25,15,7,53
54,1,2,3.5,2.1,3.3,54
55,1,1,2.25,3.3,3.2,55
56,2,3,2.8,2.6,3.2,56
57,1,3,9,1.33,5,57
58,3,0,2.3,3,3.4,58
59,0,3,3,2.4,3.25,59
60,2,0,3,2.45,3.2,60
61,1,1,1.72,4.33,4,61
62,1,2,5.8,1.5,4.4,62
63,1,1,2.45,2.9,3.25,63
64,2,2,2.2,3.1,3.5,64
65,1,1,2.1,3.4,3.4,65
66,0,2,6.5,1.5,4.4,66
67,1,1,1.3,12,5,67
68,0,0,2,3.6,3.6,68
69,2,0,3.6,2,3.5,69
70,0,1,7,1.44,4.5,70
71,3,0,1.57,5.5,4,71
72,1,1,5.5,1.7,3.4,72
73,2,0,1.95,4.2,3.3,73
74,6,1,1.8,4.8,3.4,74
75,1,1,1.44,7.5,4.2,75
76,3,2,1.25,12,5.5,76
77,0,1,2.1,3.5,3.4,77
78,0,1,2.25,3.5,3.1,78
79,3,1,1.36,11,4.4,79
80,0,0,2.15,3.3,3.5,80
81,0,0,4.2,1.85,3.6,81
82,0,0,1.28,12,5.5,82
83,2,1,4.6,1.8,3.5,83
84,0,2,2.6,2.75,3.2,84
85,3,1,1.95,3.8,3.5,85
86,0,0,2.3,3.1,3.3,86
87,1,0,1.8,4.2,3.8,87
88,2,1,1.25,12,5.5,88
89,1,1,1.5,6.5,4.4,89
90,4,0,2.15,3.3,3.4,90
91,1,4,NaN,NaN,NaN,91
92,0,0,NaN,NaN,NaN,92
93,2,0,NaN,NaN,NaN,93
94,1,1,NaN,NaN,NaN,94
95,1,0,NaN,NaN,NaN,95
96,0,4,NaN,NaN,NaN,96
97,2,4,NaN,NaN,NaN,97
98,2,0,1.83,4.2,3.6,98
99,0,2,3.1,2.37,3.2,99
100,3,1,2.05,3.6,3.3,100
101,3,2,3,2.37,3.4,101
102,1,1,1.2,15,6.5,102
103,1,2,1.61,5,4,103
104,1,1,2,3.6,3.6,104
105,5,0,1.5,6,4.2,105
106,1,1,2,3.5,3.6,106
107,2,1,5.5,1.61,4,107
108,6,1,1.28,12,5.5,108
109,1,3,5.5,1.61,3.8,109
110,1,2,1.75,4.4,3.75,110
111,1,1,NaN,NaN,NaN,111
112,2,1,NaN,NaN,NaN,112
113,1,2,NaN,NaN,NaN,113
114,3,0,NaN,NaN,NaN,114
115,0,1,NaN,NaN,NaN,115
116,0,0,NaN,NaN,NaN,116
117,1,1,NaN,NaN,NaN,117
118,3,2,NaN,NaN,NaN,118
119,0,1,NaN,NaN,NaN,119
120,4,0,NaN,NaN,NaN,120
121,1,2,10,1.33,6,121
122,1,1,3.1,2.62,3.2,122
123,2,2,1.95,4.5,3.6,123
124,2,0,1.18,19,8.5,124
125,5,4,2.7,2.9,3.25,125
126,2,1,1.8,5,3.8,126
127,0,1,2.4,3.2,3.3,127
128,3,1,1.44,9,4.6,128
129,1,1,1.5,8,4.4,129
130,1,0,2.15,3.6,3.5,130
131,1,3,2.05,3.4,3.6,131
132,3,0,3.1,2.4,3.2,132
133,2,0,1.65,5,4,133
134,2,1,3.2,2.2,3.4,134
135,5,0,1.28,12,5.5,135
136,3,1,2.37,2.9,3.4,136
137,1,5,4.6,1.75,3.7,137
138,4,3,5,1.61,4,138
139,1,1,3.3,2.2,3.3,139
140,1,0,1.75,4.6,3.6,140
141,3,2,3.2,2.5,3.3,141
142,3,1,1.36,10,5.5,142
143,3,2,3.5,2.25,3.4,143
144,3,3,3.4,2.37,3.3,144
145,3,0,2.2,3.6,3.5,145
146,4,2,5,1.7,4.2,146
147,1,0,1.28,13,6,147
148,1,0,1.72,6,3.7,148
149,1,0,2.25,3.5,3.4,149
150,2,2,1.3,11,6,150
151,2,1,3.6,2,3.6,151
152,1,0,2.25,3.2,3.4,152
153,0,3,5.5,1.57,4.33,153
154,0,1,7.5,1.33,6,154
155,1,0,1.61,5.5,3.9,155
156,3,1,2,3.7,3.5,156
157,1,2,4.6,1.7,3.9,157
158,3,0,1.2,15,6.5,158
159,0,0,3,2.37,3.2,159
160,2,0,1.25,12,6.5,160
161,0,1,NaN,NaN,NaN,161
162,1,0,1.36,12,3.9,162
163,2,2,1.006,101,34,163
164,3,0,1,151,51,164
165,1,0,2.9,4.75,1.95,165
166,0,2,5.5,1.72,3.8,166
167,1,3,3,2.7,3.25,167
168,2,1,1.22,15,7,168
169,2,1,2.15,3.5,3.6,169
170,0,1,4.2,1.95,3.7,170
171,1,1,2.37,3.1,3.4,171
172,1,0,1.33,9,5.8,172
173,1,0,2.9,2.6,3.25,173
174,3,0,1.4,9,4.6,174
175,0,2,2.7,2.75,3.3,175
176,3,1,1.25,13,6.5,176
177,1,4,2.62,2.75,3.3,177
178,0,3,9,1.33,5.8,178
179,4,1,1.33,9,5.8,179
180,1,4,3,2.45,3.4,180
181,2,2,4.4,1.95,3.6,181
182,4,1,2.4,3.2,3.25,182
183,4,2,1.28,13,6,183
184,1,0,2.1,3.75,3.6,184
185,2,1,1.25,15,6,185
186,1,2,1.8,5.5,3.6,186
187,0,3,2.87,2.62,3.4,187
188,1,0,2.37,3.1,3.6,188
189,1,4,5.5,1.66,3.8,189
190,2,0,1.33,9.5,5.5,190
191,0,0,2.6,2.9,3.25,191
192,3,0,2.2,3.3,3.5,192
193,2,1,1.16,13,8.5,193
194,2,2,8.5,1.36,5.5,194
195,3,1,1.75,5,3.6,195
196,0,2,5,1.7,4,196
197,3,3,4.5,1.8,3.75,197
198,2,0,1.95,4.2,3.5,198
199,1,2,1.75,4.6,3.7,199
200,2,0,2.9,2.5,3.4,200
201,4,0,1.33,12,5,201
202,1,0,3.5,2.15,3.4,202
203,3,1,3.1,2.45,3.2,203
204,1,3,3,2.45,3.3,204
205,0,4,8,1.4,4.6,205
206,0,0,2.45,3.2,3.1,206
207,3,0,2.2,3.3,3.5,207
208,0,3,6,1.61,3.8,208
209,4,0,4.4,1.85,3.7,209
210,1,1,2.2,3.5,3.4,210
211,2,3,1.22,15,7,211
212,1,3,2.4,3.1,3.3,212
213,2,2,1.85,4.4,3.7,213
214,1,1,5.5,1.65,4,214
215,2,0,1.83,4.6,3.7,215
216,0,1,3,2.4,3.5,216
217,2,2,2,3.7,3.7,217
218,3,0,2,3.75,3.7,218
219,2,1,1.2,15,7,219
220,2,0,1.2,17,7.5,220
221,0,2,2,3.75,3.7,221
222,1,2,1.22,13,7,222
223,1,0,3,2.5,3.2,223
224,1,1,2.45,3.1,3.2,224
225,0,0,10,1.35,5,225
226,2,1,3.5,2.1,3.5,226
227,1,1,2.5,2.9,3.4,227
228,0,4,6,1.6,4,228
229,0,0,1.18,19,7.5,229
230,1,1,2.87,2.6,3.3,230
231,3,1,2.1,3.5,3.5,231
232,0,4,1.65,5,4.2,232
233,2,0,9.5,1.4,4.6,233
234,6,3,1.75,4.75,3.9,234
235,1,3,1.8,4.75,3.7,235
236,2,1,2.2,3.3,3.5,236
237,1,0,2.37,3.1,3.4,237
238,1,0,1.25,17,5.8,238
239,2,1,1.18,19,7,239
240,0,3,5.5,1.7,3.8,240
241,2,0,1.2,19,7,241
242,2,0,1.22,17,6.5,242
243,0,0,3.25,2.25,3.4,243
244,1,0,2.1,3.5,3.6,244
245,0,4,3.4,2.1,3.75,245
246,2,2,2.1,3.5,3.6,246
247,2,0,2.15,3.4,3.5,247
248,1,1,7.5,1.44,4.4,248
249,2,0,2.5,2.9,3.3,249
250,0,2,7,1.44,4.8,250
251,3,1,1.22,15,6.5,251
252,1,0,2.15,3.6,3.5,252
253,2,0,1.4,7.5,5,253
254,1,1,2.1,3.6,3.4,254
255,NaN,NaN,NaN,NaN,NaN,255
256,2,1,2.15,3.5,3.5,256
257,1,1,2.6,2.87,3.25,257
258,4,0,1.35,8.5,5.5,258
259,3,1,5,1.72,3.75,259
260,1,1,1.22,17,6,260
261,3,1,2.05,3.7,3.6,261
262,2,0,2,4,3.5,262
263,3,2,1.95,4.2,3.5,263
264,3,4,3.25,2.25,3.4,264
265,0,2,2.15,3.6,3.4,265
266,3,1,2.05,3.7,3.6,266
267,3,2,1.7,5,3.9,267
268,0,2,11,1.28,6,268
269,1,2,5.5,1.65,4,269
270,0,0,1.22,15,6.5,270
271,2,1,2.4,3,3.4,271
272,NaN,NaN,NaN,NaN,NaN,272
273,NaN,NaN,NaN,NaN,NaN,273
274,3,2,2.5,2.9,3.4,274
275,3,0,1.7,5.5,3.8,275
276,2,1,1.25,13,6.5,276
277,3,1,5.5,1.65,4,277
278,1,2,6,1.6,4,278
279,0,0,2.45,2.9,3.4,279
280,4,0,1.5,7,4.33,280
281,2,3,2.3,3.1,3.5,281
282,1,0,1.95,4,3.6,282
283,2,0,2.25,3.25,3.4,283
284,1,3,7,1.53,4.2,284
285,2,1,1.6,5.5,4.2,285
286,1,1,2.05,3.6,3.75,286
287,3,1,1.72,5.5,4,287
288,0,2,5.8,1.72,3.8,288
289,1,2,1.35,10,5.5,289
290,2,1,2.3,3.3,3.4,290
291,2,0,2,4.33,3.5,291
292,0,0,1.4,9.5,5,292
293,1,0,2,4.4,3.4,293
294,0,0,1.66,5.8,4,294
295,0,0,1.95,4.33,3.6,295
296,2,2,3.1,2.3,3.75,296
297,1,0,2.5,3,3.25,297
298,2,0,1.6,6,4.2,298
299,2,0,2.5,3,3.2,299
300,1,1,1.57,6,4.33,300
301,1,3,5,1.66,4,301
302,4,2,2.2,3.4,3.5,302
303,3,0,1.4,8,5,303
304,3,1,1.7,5,3.8,304
305,2,2,1.28,11,5.8,305
306,2,1,2.37,3.1,3.4,306
307,4,0,1.28,13,5.5,307
308,3,1,1.2,15,7.5,308
309,1,0,2.05,3.6,3.7,309
310,0,1,3.1,2.45,3.25,310
311,0,0,2.4,3,3.4,311
312,1,2,5,1.7,4,312
313,1,3,7,1.53,4.2,313
314,0,3,7.5,1.44,4.6,314
315,4,2,1.72,4.8,4,315
316,3,0,5,1.7,4,316
317,NaN,NaN,1.3,9.5,5.8,317
318,NaN,NaN,2.2,3.4,3.4,318
319,NaN,NaN,1.5,7,4.4,319
320,NaN,NaN,2,3.9,3.5,320
321,NaN,NaN,3.1,2.3,3.5,321
322,NaN,NaN,2.5,2.9,3.3,322
323,NaN,NaN,4.6,1.75,3.9,323
324,NaN,NaN,4.5,1.9,3.5,324
325,NaN,NaN,2.7,2.8,3.2,325
326,NaN,NaN,5.5,1.57,4.5,326
327,NaN,NaN,NaN,NaN,NaN,327
328,NaN,NaN,2.3,3.1,3.5,328
329,NaN,NaN,2,3.8,3.6,329
330,NaN,NaN,2.9,2.45,3.5,330
